accuracy,precision,recall,f1,mcc
0.34375,0.23465909090909093,0.3958333333333333,0.27103855896425555,0.1587603674354196
0.625,0.4976190476190476,0.625,0.5410459106111281,0.5148015911460305
0.53125,0.5333333333333333,0.5,0.5050366300366301,0.34534760778307794
0.4375,0.35,0.3333333333333333,0.2678571428571429,0.2543527874857913
0.3125,0.14285714285714285,0.21875,0.15416666666666667,-0.11757927025044308
0.375,0.09375,0.25,0.13636363636363635,0.0
0.46875,0.29464285714285715,0.34375,0.275,0.2743516305843672
0.4375,0.35,0.3125,0.24285714285714288,0.24096579867074966
0.25,0.12698412698412698,0.20833333333333331,0.15384615384615383,-0.09145054352812239
0.4375,0.23109243697478993,0.375,0.2852664576802508,0.19915579112891665
