accuracy,precision,recall,f1,mcc
0.472222222222222,0.441071428571429,0.483333333333333,0.457242757242757,0.237159925869399
0.472222222222222,0.602678571428571,0.555555555555556,0.466271409749671,0.352208065082764
0.5,0.713383838383838,0.525,0.499923195084486,0.352025734665457
0.611111111111111,0.684436274509804,0.65,0.664466354723708,0.44342202660887
0.388888888888889,0.525,0.366666666666667,0.415384615384615,0.112022406722241
0.333333333333333,0.276515151515151,0.355555555555556,0.304716117216117,0.080016004801601
0.472222222222222,0.338636363636364,0.441666666666667,0.376006191950464,0.26150571016236
0.277777777777778,0.191220238095238,0.302777777777778,0.215935214211076,0
0.444444444444444,0.475,0.369444444444444,0.337888198757764,0.172397131153108
0.5,0.253125,0.4,0.300333704115684,0.297456538265446
