accuracy,precision,recall,f1,mcc
0.6333333333333333,0.6083333333333333,0.6041666666666667,0.5865800865800865,0.48659042233349364
0.6333333333333333,0.6354166666666666,0.5833333333333333,0.5826118326118326,0.48675784007771267
0.7,0.7480769230769231,0.65625,0.6673015873015873,0.5774690182881894
0.7333333333333333,0.7101190476190476,0.6666666666666666,0.6814814814814815,0.6218283064843615
0.7,0.696875,0.6354166666666666,0.65,0.5765600996553183
0.6666666666666666,0.6736694677871149,0.5854166666666667,0.6063218390804598,0.5245594676940994
0.6666666666666666,0.6409313725490197,0.5854166666666667,0.5973932676518883,0.5267390046719193
0.8333333333333334,0.8424908424908425,0.8166666666666667,0.824040404040404,0.7673297442810932
0.6,0.6971153846153846,0.6229166666666667,0.5673076923076923,0.4745218952507406
0.7333333333333333,0.8038461538461539,0.7166666666666666,0.7151515151515152,0.6450280677815152
