accuracy,precision,recall,f1,mcc
0.3611111111111111,0.12037037037037036,0.21666666666666667,0.15476190476190477,-0.008585668058148864
0.3611111111111111,0.28583916083916083,0.32222222222222224,0.2975453339230429,0.11538907441338857
0.3611111111111111,0.43,0.33055555555555555,0.2690756302521008,0.12027087876674787
0.5277777777777778,0.5595238095238095,0.575,0.5662024756852343,0.3401854817377377
0.4444444444444444,0.4779220779220779,0.5,0.46540857722399304,0.238562091503268
0.6111111111111112,0.7708333333333334,0.6166666666666667,0.6296296296296297,0.48010528983194795
0.5,0.568218954248366,0.5527777777777777,0.5346153846153846,0.3349224024447349
0.4166666666666667,0.43823529411764706,0.5111111111111111,0.418768115942029,0.252934193599437
0.5277777777777778,0.6333333333333333,0.48055555555555557,0.46712749615975424,0.32597284057234055
0.5277777777777778,0.26875,0.41666666666666663,0.3164627363737486,0.3444233600968322
