accuracy,precision,recall,f1,mcc
0.28125,0.221875,0.3229166666666667,0.25676406926406925,0.06515293170464026
0.34375,0.37215909090909094,0.375,0.29404761904761906,0.19574943722117696
0.25,0.20168067226890757,0.29166666666666663,0.2202898550724638,0.06396429990977141
0.28125,0.21111111111111114,0.3541666666666667,0.23525641025641025,0.12936558625653857
0.46875,0.5152777777777777,0.5208333333333333,0.5007936507936508,0.28724858091861655
0.125,0.10661764705882354,0.16666666666666666,0.11521739130434783,-0.12893219948991522
0.34375,0.40297619047619043,0.3541666666666667,0.35639768728004023,0.15343217126762365
0.375,0.32738095238095233,0.3333333333333333,0.3178571428571429,0.1555427542095638
0.3125,0.3150568181818182,0.3020833333333333,0.26838235294117646,0.09702022454386752
0.34375,0.45668859649122806,0.3645833333333333,0.33518518518518525,0.11207182495347247
