accuracy,precision,recall,f1,mcc
0.3125,0.29583333333333334,0.3229166666666667,0.30753968253968256,0.01749992708378906
0.53125,0.6481018981018981,0.5104166666666666,0.4964962573658226,0.3644675180534315
0.375,0.4099206349206349,0.38541666666666663,0.3931547619047619,0.16512035534790942
0.34375,0.3587719298245614,0.30208333333333337,0.2954789833822092,0.06296688812298185
0.3125,0.18333333333333335,0.25,0.202020202020202,-0.039640218755904295
0.46875,0.4633152173913043,0.38541666666666663,0.3198412698412698,0.2616622188608719
0.28125,0.26666666666666666,0.22916666666666666,0.2361111111111111,-0.002775337581371899
0.4375,0.235,0.32291666666666663,0.2557915057915058,0.18112862928903786
0.46875,0.36363636363636365,0.375,0.3345588235294118,0.2362493207841791
0.375,0.2,0.3333333333333333,0.24798711755233496,0.11036923040447776
