accuracy,precision,recall,f1,mcc
0.40625,0.4541666666666666,0.4791666666666667,0.3932391138273491,0.26627719914070364
0.78125,0.8273358585858586,0.8020833333333333,0.7856967787114846,0.7240921766840485
0.59375,0.636634199134199,0.6458333333333334,0.6176156359979889,0.4859921372143649
0.65625,0.7113636363636364,0.7291666666666667,0.6646533613445378,0.5895025527650803
0.59375,0.7309523809523809,0.5416666666666666,0.5769230769230769,0.44174809330327264
0.5,0.5753968253968254,0.5416666666666666,0.49278309409888355,0.3479155226063375
0.53125,0.5441017316017316,0.53125,0.5351966873706003,0.3631589596766683
0.59375,0.6728758169934641,0.5208333333333333,0.5150944390295302,0.4330374148311605
0.53125,0.6197916666666667,0.46874999999999994,0.4732142857142857,0.3426976773876056
0.34375,0.26666666666666666,0.3125,0.2693236714975845,0.08392164956275269
