accuracy,precision,recall,f1,mcc
0.6666666666666666,0.8375,0.6229166666666667,0.6510957792207793,0.5526854020073216
0.7,0.7697368421052632,0.6541666666666667,0.6655145929339477,0.5948587011997285
0.8666666666666667,0.8833333333333333,0.8875,0.8762626262626263,0.8217143146070894
0.8333333333333334,0.8316287878787879,0.85625,0.8416749011857708,0.7700947407084714
0.4,0.2263888888888889,0.3229166666666667,0.244047619047619,0.16794365387236437
0.8333333333333334,0.8833333333333333,0.8166666666666667,0.8402116402116403,0.7698396458752492
0.8,0.8285714285714285,0.7958333333333334,0.8065934065934067,0.7207656836410115
0.6333333333333333,0.49404761904761907,0.55625,0.5147435897435898,0.48394841213068523
0.7333333333333333,0.8194444444444444,0.6854166666666667,0.722863247863248,0.6349886754577287
0.8,0.8416666666666668,0.7854166666666667,0.8044973544973546,0.721422058084353
